Region,pes21_rural_urban,cps21_household,mean_engagement,mean_institutional_faith,mean_social_friction,N
Territories,5.0,1.0,0.3270833333333334,0.5504013761467891,0.5000000000000001,1
West,1.0,1.0,0.3133707604905762,0.5914751828520696,0.41772913466461864,31
West,1.0,2.0,0.3162003003112835,0.61847543808553,0.4279911247653184,93
West,1.0,3.0,0.31435821123321134,0.5771254452733812,0.342445054945055,26
West,1.0,4.0,0.3212036203370237,0.5656286138308536,0.44953314659197025,17
West,1.0,5.0,0.3421172288359789,0.6322008792048931,0.2895833333333334,4
West,1.0,6.0,0.2800807823129252,0.6267477155235184,0.5415178571428573,8
West,1.0,7.0,0.3322916666666667,0.47721712538226296,0.3250000000000001,1
West,2.0,1.0,0.294145880574452,0.5689700944937949,0.3540476190476191,45
West,2.0,2.0,0.2971270018424037,0.5825900577165118,0.3805413832199548,112
West,2.0,3.0,0.30268790154950875,0.6147217216397263,0.40219246031746037,40
West,2.0,4.0,0.29288076341647773,0.6072063760318228,0.38590225563909786,19
West,2.0,5.0,0.3823613473167045,0.670556344352216,0.3478174603174604,6
West,2.0,6.0,0.28902825018896455,0.4641452478035048,0.38452380952380955,3
West,3.0,1.0,0.3084024234693878,0.6065650256662299,0.39366319444444453,32
West,3.0,2.0,0.2769218520741631,0.5909684424228407,0.393529411764706,85
West,3.0,3.0,0.25167565724206353,0.5726862565075725,0.3391121031746033,32
West,3.0,4.0,0.24810720584530113,0.5625870276754943,0.3586167800453516,21
West,3.0,5.0,0.28573406793272865,0.5582275283966799,0.39454365079365084,8
West,3.0,6.0,0.32701955782312925,0.5928530471821758,0.4714285714285715,2
West,3.0,7.0,0.47314814814814826,0.7141628440366974,0.7750000000000002,1
West,4.0,1.0,0.27288768181208106,0.5683388418673081,0.39085818127874217,107
West,4.0,2.0,0.25681325585789877,0.5667277486529781,0.36956349206349215,250
West,4.0,3.0,0.28955928144204546,0.5874894343457369,0.37620772946859915,115
West,4.0,4.0,0.26707656654210987,0.5887705181137797,0.3886317907444669,71
West,4.0,5.0,0.28482019619441984,0.5725937612779457,0.28631815044858533,23
West,4.0,6.0,0.2985091490299824,0.5488777850589778,0.41064814814814826,6
West,4.0,7.0,0.2842403628117914,0.6393115018688414,0.47976190476190483,3
West,4.0,8.0,0.1541666666666667,0.38790137614678905,0.2250000000000001,1
West,4.0,9.0,0.06666666666666668,0.4731396534148829,0.48571428571428577,1
West,4.0,20.0,0.2657738095238096,0.5743692660550459,0.44444444444444453,1
West,5.0,-99.0,0.31369047619047624,0.48572884811416933,0.17777777777777784,1
West,5.0,1.0,0.27195102434748786,0.566846336797477,0.34922961584199375,307
West,5.0,2.0,0.25447377338780564,0.5642237917844352,0.36290221029260705,479
West,5.0,3.0,0.2709674008492286,0.5690341327662565,0.3204131652661065,170
West,5.0,4.0,0.28081859634057443,0.5811017963452686,0.3585211796750259,169
West,5.0,5.0,0.2563792108434966,0.5672923578886883,0.32670527670527677,37
West,5.0,6.0,0.2727395124716554,0.5684656864784652,0.3509448223733939,21
West,5.0,7.0,0.4270337301587302,0.5824265205572546,0.6333333333333334,3
West,5.0,8.0,0.38299162257495595,0.6074486675404108,0.19166666666666674,3
West,6.0,1.0,0.3652777777777778,0.6789181957186545,0.75,3
West,6.0,2.0,0.4225446428571429,0.6786474260958207,0.6020833333333335,4
West,6.0,4.0,0.6421914367598892,0.6651737172952771,0.8240740740740741,6
West,6.0,5.0,0.4956183862433864,0.8432785423037717,0.7375,4
